,text,cluster
4466,а у меня мокап не открывает говорит что непонятного формата хотя скачивала псд,технические вопросы
4467,а а теперь открылся,неформальные нейтральные сообщения
4468,странно,неформальные нейтральные сообщения
4469,"23, я нервничаю",неформальные нейтральные сообщения
4470,3 но страшно,неформальные нейтральные сообщения
4471,"2, 3, волнуюсь",вопросы о профессии
4472,он походу не сохранился хотя я его сохраняла,неформальные нейтральные сообщения
4473,могу быстро переделать?,технические задачи
4474,какой формат нужен?,формат дизайна
4475,я про мм,осóbные выражают мысль
4476,или пиксели,обсуждение кода
4477,формат А4 вроде,форматирование документов
4478,а у меня почему то не получается,технические вопросы
4479,у меня вроде работает но как то неправильно,технические вопросы
4480,у меня что то с интеом было или есть,технические вопросы
4481,а если камеры нету,технические вопросы
4482,аа фух,неформальные нейтральные сообщения
4483,а в каком приложение или на рабочем столе?,запросы о группах и обучении
4484,могу на 1 минуту отойти,пauses
4485,я нашла свою презентацию она одновременно сохранилась и нет можно пожалуйста я после второго человека хочу скинуть,публикация материалов
4486,где 5 страниц,запросы по количеству материаала
4487,я тут но не хочу 1,неформальные нейтральные сообщения
4488,я вам раньше еще скидывала свои работы,комментарии об авторивке
4489,а вот мокапов увы нет,неформальные нейтральные сообщения
4490,я папку не знаю как делать,технические вопросы
4491,неееет,флуд
4492,ну все микро не работает,технические вопросы
4493,у меня работает,обучение и опыт
4494,ну что за день и работу свою чуть не потеряла и мокапы то открываются то нет но микро ??,технические вопросы
4495,хорошо; 2024-03-10T08:39:38.469Z,неформальные нейтральные соobщения
4496,буду тогда писать гс,обсуждение кода
4497,нормально?,неформальные нейтральные сообщения
4498,у меня гс получилось на 30 секунд,технические вопросы
4499,хорошо пусть пока грузит,неформальные нейтральные сообщения
4500,я отойду в место где инет есть,запросы о группах и обучении
4501,Очень класный проект,позитивные неформальные сообщения
4502,"ульян,крутышка вщ",неформальные нейтральные сообщения
4503,я перезайду; 2024-03-10T08:56:29.692Z,неформальные нейтральные сообщения
4504,Ульяна молодец,положительное оценка
4505,спасибочки,неформальные нейтральные сообщения
4506,первой выступать всегда страшно,опаaciones
4507,молодец дарек!,позитивные сообщения
4508,как ты до этого додумался?,вопросы
4509,до карты города,навигация
4510,молодец:) классная задумка,положительный неформальные сообщения
4511,проект крутой,обсуждение проектов
4512,Ты большой молодец,позитивный неформальные сообщения
4513,как ты придумала своих милых животных?,разговоры о животных
4514,полностью согласна с софьей,согласия и подтверждения
4515,Волк и мышка очень класные!,положительный неформальные сообщения
4516,какая милая история,неформальные нейтральные сообщения
4517,ТОПЧИК:),неформальные нейтральные сообщения
4518,"согласна, очень красивые цвета",аэстетская тематика
4519,вопрос: сколько видов филы? ??,запросы
4520,ммм вкусняхи,неформальные нейтральные сообщения
4521,благодарю:)),приветствия и благодарность
4522,молодец!,положительный неформальные сообщения
4523,"вероника,очень классная  презентация",положительный неформальные сообщения
4524,Вероника молодец!!,комплименты
4525,крутанские цвета вщщщ,неформальные нейтральные сообщения
4526,на какое комбо будет личная скидка для нас?,запросы о группах и обучении
4527,Проект очень интересный!; 2024-03-10T09:11:39.062Z,одобрение проекта
4528,софия молодец,положительные неформальные сообщения
4529,презентация тоооп ??????,платформы обучения
4530,София крутая,положительные неформальные сообщения
4531,и суши и комбо,технические восклияния
4532,поем наславу,болгарский фольклор
4533,а пицца с ананасом есть? а гавайская?\,различные тематические вопросы
4534,а почему лисик?,вопросы
4535,"очень крутая призентация, Алиса молодец",положительный неформальные сообщения
4536,классно сделанно!Алиса молодец:),позитивное сообщение
4537,у алины взяла книгу про шрифт прочитать,комментарии о книгах
4538,вроде же у алины доставка вдохновния?,разговорный lang
4539,"да, я по скидке книгу продала",обсуждение торговли
4540,а гдее,запросы о группах и обучении
4541,урыыы; 2024-03-10T09:22:14.802Z,неформальные нейтральные сообщения
4542,нету вопросов,бесфондные сообщения
4543,а вы будете по нам скучать??,разговорные сообщения
4544,я даже не знаю как в личный кабинет зайти,запросы о группах и обучении
4545,мне мама ссылку присылала,фишинговые ссылки
4546,я по всем буду скучать,прощания
4547,но я буду спать в вс до часа дня,неформальные нейтральные сообщения
4548,спасибо вам!!; 2024-03-10T09:26:09.225Z,неформальные нейтральные сообщения
4549,удачи всем; 2024-03-10T09:26:11.628Z,приветствия
4550,здравствуйте; 2024-03-03T07:55:20.227Z,приветствия
4551,о попострднучик,неформальные нейтральные сообщения
4552,как дела,неформальные нейтральные сообщения
4553,я просто заболел,болезни
4554,1 2 3 4 5 67,технические вопросы
4555,я зашол; 2024-03-03T08:10:45.228Z,неформальные нейтральные сообщения
4556,Я это делать буду,обсуждение кода
4557,нету; 2024-03-03T09:19:42.183Z,недостаточный материал для определения семантической группы
4558,5 6 3,технические вопросы
4559,нету),1
4560,ручками все); 2024-03-10T08:10:51.369Z,неформальные нейтральные сообщения
4561,я делаю; 2024-03-10T08:25:34.248Z,семья позиций и задач duties and tasks positions
4562,времени нет,запросы о группах и обучении
4563,я делаю; 2024-03-10T08:25:52.219Z,очень краткое описание деятельности
4564,у меня проблема с каруселем,технические вопросы
4565,у меня есть но его надо починить,технические вопросы
4566,он был  готов н я его не сохранил,неформальные нейтральные сообщения
4567,можно в тг прислать,полезные ссылки
4568,когда доделаю,обучение и опыт
4569,можно я не на уроке,запросы о группах и обучении
4570,я в тг скину,фишинговые ссылки
4571,когда все готово будетт,ожидание
4572,арсен в записи посмотрит,запись звонков
4573,о проблемы с интернетом,технические вопросы
4574,я оключюсь не неадолго,неформальные нейтральные сообщения
4575,пишу; 2024-03-10T09:21:11.434Z,обучение и опыт
4576,помощь нужно,запросы о группах и обучении
4577,спасибо; 2024-03-10T09:26:41.703Z,приветствия и благодарительные сообщения
4578,Здравствуйте это мама геворга он убежал в лес,приветствия
4579,хоттел бы я думать,различные тематические вопросы
4580,можете немного подождать,ожидание
4581,вы продолжайте у меня не готова,неформальные нейтральные сообщения
4582,у меня как у Рустама,название личностей
4583,пусть Геворг начнет,обсуждение кода
4584,у меня не полностью готово,обучение и опыт
4585,я не могу проект найти,технические вопросы
4586,а есть  курс кибербезопастности ?,вопросы обучением и курсами
4587,после всех занятий вы будете давать нам задание чтобы не забыть,задания и домашние работы
4588,уроки,1
4589,а предложите ли  работу,запросы об обращении к hr
4590,сертификат останется в сайте или его можно получить как то,технические вопросы
4591,распечатать можно; 2024-03-17T08:39:50.708Z,неформальные нейтральные сообщения
4592,ок спасибо,неформальные нейтральные сообщения
4593,кибербезопастность,кибербезопасность
4594,я это выбрал,технические вопросы
4595,"не выбирал, пора отдохнуть; 2024-03-17T08:41:10.288Z",неформальные нейтральные сообщения
4596,ещё один курс по питону а потом Unity,обучение и опыт
4597,можете повторить я не услышал,запросы о обучении
4598,скидки на следуюший курс будет,скидки и бонусы
4599,до встречи Роман,беседы и приветствия
4600,вы научите нас брать заказы на freelance?,запросы об услугах
4601,для фриланса минимум мидл уровень нужен,запросы о профессии и уровнях
4602,куда?,вопросы
4603,что куда,технические вопросы
4604,писать куда,1
4605,желание,приветствия
4606,сюда,неформальные нейтральные сообщения
4607,или в тг,неформальные нейтральные сообщения
4608,вы предлогите нам работу,запросы о группах и обучении
4609,предложите,запросы о группах и обучении
4610,хахахахахаххаахххххххххххххххх,неформальные нейтральные сообщения
4611,даже без зарплаты,обучение и опыт
4612,просто научиться большего,обучение
4613,до встречи; 2024-03-17T08:50:52.899Z,приветствия и уход
4614,спасибо за весь курс и хорошего отдыха,благодарность
4615,пока до встречи; 2024-03-17T08:55:53.258Z,прощания
4616,шикарно,положительный неформальные сообщения
4617,я дуиаю смогу,неформальные нейтральные сообщения
4618,сейчас посмотрю,неформальные нейтральные сообщения
4619,так то получилось,нейтральные сообщения
4620,оно не сохранилось опят,неформальные нейтральные сообщения
4621,не помню,запросы о группах и обучении
4622,я посл урока доделывала,обучение и опыт
4623,кто хочет с челом без микро?ъ0,технические вопросы
4624,2 3 5,обучение и опыт
4625,хотя 4 идеал,безформальные нейтральные сообщения
4626,D кнч,неформальные нейтральные сообщения
4627,шрумер,неформальные нейтральные сообщения
4628,грумер правильно,технические вопросы
4629,я грумер написала,неформальные нейтральные сообщения
4630,аааааааааааааааааааа,нейтральные неформальные сообщения
4631,да я,неформальные нейтральные сообщения
4632,там защитали правильнор,неформальные нейтральные сообщения
4633,если написали грумер защитало,технические вопросы
4634,софия ты в геншин играешь же?,вопросы о профессии
4635,или злата,неформальные нейтральные сообщения
4636,мне без разнтцы хоть с алисой,неформальные нейтральные сообщения
4637,ты играешь в генш,игры
4638,кто,запросы о группах и обучении
4639,я играю,игры
4640,обе,фруктовая тема
4641,да но мне его папа заблокал(,неформальные нейтральные сообщения
4642,60 ранг,оценка рейтинга
4643,го в месте,неформальные нейтральные сообщения
4644,про генш наверно если хотите,запросы о группах и обучении
4645,гоог,1
4646,та не леон у нас вроде девочки,неформальные нейтральные сообщения
4647,я еще в майн рублюсь на пвп,игры
4648,я тоже),неформальные нейтральные сообщения
4649,еще вал пабг,фандмиlage
4650,я еще в фортнайт играю,игровые темы
4651,я играла,настроение и развлечения
4652,Я РАНЬШЕ ИГРАЛА,игры
4653,го в тг группу из нас 3,вхождение вtelegram чат
4654,я еще играю в кошки против зомби,неформальные нейтральные сообщения
4655,а что за приложехние на экране,технические вопросы
4656,вхероника а ты в генш играла,неформальные нейтральные сообщения
4657,или играешь,обсуждение кода
4658,я играю на ps 5,игровые комментарии
4659,я у вероники спрашиваю,запросы
4660,го хдхевочки и мальчики?,вопросы о составе группы
4661,да че я на х нажимаю,неформальные нейтральные сообщения
4662,ксюша можешь мини группу создать с нами я ты и леон,групповая работа
4663,девочки кто бы хотел что делать,различные тематические вопросы
4664,игорь девочка теперь,личные сообщения
4665,малина,флуд
4666,оладушек,кухня
4667,да нормас,неформальные нейтральные сообщения
4668,ксюша го вместе,неформальные нейтральные сообщения
4669,гоооооооооъ,токсичные сообщения
4670,дад; 2024-03-05T15:25:10.945Z,неформальные нейтральные сообщения
4671,без проблем,без проблем
4672,ребята если мы будем в звонке в тг я могу говорить,запросы о группах и обучении
4673,можно я персонажа рисую,обсуждение искусства
4674,хорошо),положительный неформальные сообщения
4675,я фон,неформальные нейтральные сообщения
4676,дай тг,технические вопросы
4677,ник в нем,1
4678,даааааааааааа; 2024-03-05T15:27:50.897Z,неформальные нейтральные сообщения
4679,я написала тебе,неформальные нейтральные сообщения
4680,девочки напишите мне,вопросы о себе
4681,я написала; 2024-03-05T15:28:30.274Z,неформальные нейтральные сообщения
4682,Вероника мой ник ксюшка,неформальные нейтральные сообщения
4683,злата не пришло,токсичные сообщения
4684,ник в тг Артем Абдулхаков; 2024-03-05T15:30:04.186Z,сообщения о пользователях
4685,а можно в тг я смогу говорить,полезные ссылки
4686,нет; 2024-03-05T16:28:22.775Z,привет всем мне интересно как обучается группа по направлению machine learning комментарии о количестве человек и прогрессе в обучении также полезны
4687,666666666,флуд
4688,ТГ; 2024-03-05T15:32:19.048Z,поздравительные сообщения
4689,л; 2024-03-05T16:24:54.680Z,неформальные нейтральные сообщения
4690,девочки,разговоры неформальные
4691,кто мне написал,вопросы о пользователях
4692,твой ник азазик?,вопросы о профессии
4693,если да то пришло,неформальные нейтральные сообщения
4694,вероника скинь ник или напиши мне,запросы о группах и обучении
4695,и злата,фишинговые ссылки
4696,я перса,рассказы об себе и культуре
4697,жппжпжпжжп,никакой информации об этом тексте не может быть получена он состоит только из букв
4698,мне\,вопросы о себе
4699,ник в тг ксюшка,неформальные нейтральные сообщения
4700,я тоже фон хочу,универсальная группа для тематики не связанной с описанными выше
4701,на аве невелетт,неформальные нейтральные сообщения
4702,еще 1 человек,запросы о группах и обучении
4703,злата вроде,неформальные нейтральные сообщения
4704,а нет злата естьъ,флуд
4705,софия,неформальные нейтральные сообщения
4706,какой ник,флуд
4707,а тогда вероника,неформальные нейтральные сообщения
4708,напиши мне,запросы
4709,ребята не получается,неформальные нейтральные сообщения
4710,вероника ты тут,неформальные нейтральные сообщения
4711,напиши мне в тг,личные сообщения
4712,так это тг,телеграм
4713,ну тогда ту,неформальные нейтральные сообщения
4714,т,нет определимой семантики
4715,или вц,неформальные нейтральные сообщения
4716,давайте начнем уже,обсуждение темы дисcussion
4717,я пеххрсах,неформальные нейтральные сообщения
4718,вероника,автоматическая обработка текста текстовая обработка
4719,ты играешь в геншин,обсуждение игр
4720,кто то спросите ее,вопросы
4721,или попросите открыть чат,неформальные нейтральные сообщения
4722,нет и у меня,1
4723,скажите нике открыть чат,пользователи и chat
4724,там аънимировать,токсичные сообщения
4725,и эффекты,обучение и опыт
4726,да хорошо,неформальные нейтральные сообщения
4727,го кто то из генша,токсичные сообщения
4728,кто ваш любимый персъ,животные
4729,че,неформальные нейтральные сообщения
4730,го фуру,неформальные нейтральные сообщения
4731,фурину,нет формированоeй группы
4732,го; 2024-03-05T15:43:07.346Z,ноль
4733,сидит,неформальные нейтральные сообщения
4734,ребята поъзовем к нам учителя мне лично помощь нужна,запросы о помощи
4735,там есть эффекты или анимация,технические вопросы
4736,таъък ты и не будехшьх,прощания
4737,"ААААААААААААА
хх",неформальные нейтральные сообщения
4738,позовем тичхер,технические вопросы
4739,го ях хтожъъ дм покажу и будете видеть чо я рисуххюх,неформальные нейтральные сообщения
4740,да позовите учителя,запросы об учебном процессе
4741,я позвала,запросы о группах и обучении
4742,у меня контактов нету,запросы о группах и обучении
4743,ъ3 д + 2д не оч,неформальные нейтральные сообщения
4744,хэто страшнъо и странно,неформальные нейтральные сообщения
4745,но этого перса мы не сделаем,неформальные нейтральные сообщения
4746,ксюша ты есть в дс?,чаты и беседы
4747,злата око красивое,неформальные нейтральные сообщения
4748,угадайте где я живу,различные тематические вопросы
4749,в россии,россия тема
4750,НИФИГП,наука и технологии
4751,нет не в россии; 2024-03-05T16:14:27.733Z,геополитика
4752,че этро за город в первый раз слышу,вопросы о мероприятии
4753,я тебя поздравляю,приветствия
4754,покажи что ты сдъелал,неформальные сообщения
4755,а веръоника,неформальные нейтральные сообщения
4756,ъче везде ъъ теперь,неформальные нейтральные сообщения
4757,она не обязана тебе верить,неформальные нейтральные сообщения
4758,попросите ее показать что она сделала,запросы оresult
4759,лучше потребуйте,технические вопросы
4760,ТАК ВСЕ В ЧАТ,неформальные нейтральные сообщения
4761,КТО ПРОЧЕКЪЛ ЗОВИ ОСТАЛЬНЫХ,токсичные сообщения
4762,але\,12
4763,крч я все понимаю,неформальные нейтральные сообщения
4764,покажите что вы сделали,обсуждение кода
4765,вероника 1,позитивные сообщения
4766,покажите че вы сделали,обсуждение кода
4767,ероник,флуд
4768,пожалуйста; 2024-03-05T16:25:25.370Z,приветствия
4769,Вероника подойдет через 5 мин,ожидание
4770,запзап,нет определенной семантики
4771,каво?,неформальные нейтральные сообщения tea coffee
4772,я постараюсь на выходных сделать,работа и время
4773,за 9 и еще какрй то урок,обучение и опыт
4774,какие программы можно использовать для создаия звука,технические вопросы
4775,4; 2024-03-12T15:09:19.215Z,1
4776,641; 2024-03-12T15:09:23.190Z,техническая поддержка
4777,2024-03-12T15:09:28.018Z,запросы о группах и обучении
4778,мне надо звук скорректироать,технические вопросы
4779,эскизы...?,дизайн и рисование
4780,ты эскиз делаешь,работа над проектом
4781,ну там не эскизиу,неформальные нейтральные сообщения
4782,РАЗМУТЬТЕ МИИИИИИИИИИИИИИИИИИИИИИИИИИИИИИИИИИКРООООООООООООООООООООЪ; 2024-03-12T15:14:33.400Z,неформальные нейтральные сообщения
4783,ух емае?,неформальные нейтральные сообщения
4784,ага спасибо леон,аcknowledgments and thanks
4785,уй е,флуд
4786,шифт  альт,технические вопросы
4787,ёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёё                ёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёё,1
4788,мммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммммаааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёёё,неформальные нейтральные сообщения
4789,леон,неформальные нейтральные сообщения
4790,не надо; 2024-03-12T15:22:47.926Z,данный текст не содержит комментариев и не попадает в категорию определенных в вашем списко выше групп
4791,можно я в лс вам скину звук,файлы и медиа
4792,чо за фигня?,токсичные сообщения
4793,че; 2024-03-12T15:25:40.028Z,неформальные нейтральные сообщения
4794,не не че уже; 2024-03-12T15:26:04.069Z,неформальные нейтральные сообщения
4795,"1,29E+24",нет получения семантики из этого текста
4796,меня слышнп,неформальные нейтральные сообщения
4797,"не, я вам просто в лс готовый звук кину",флуд
4798,се1час,технические вопросы
4799,кинуоа; 2024-03-12T15:31:44.231Z,неформальные нейтральные сообщения
4800,можно я вам в телеграм звук кинуп86,неформальные звуки и звуковые эффекты
4801,меня слышно,наличие сообщений о звучании
4802,фя,токсичные сообщения
4803,я гофорю,неформальные нейтральные сообщения
4804,мечта,мечты и фантазий
4805,папапапаппапапа,неформальные нейтральные сообщения
4806,я бы ещё фоны порисовала; 2024-03-12T16:18:04.764Z,неформальные нейтральные сообщения
4807,может перса вххвххв,неформальные нейтральные сообщения
4808,вххв,неформальные нейтральные сообщения
4809,у кого это,запросы о группах и обучении
4810,вода вода,1
4811,чето там вода,неформальные нейтральные сообщения
4812,да; 2024-03-12T16:20:30.213Z,техническая помощь
4813,это вода,неформальные нейтральные сообщения
4814,встань,неформальные нейтральные сообщения
4815,ди иди попей вода,неформальные нейтральные сообщения
4816,пейте воад,неформальные нейтральные сообщения
4817,водаводаводв,нет определенной семантики в тексте для определенной группы
4818,вы что не вада,неформальные нейтральные сообщения
4819,вода водв адлв; 2024-03-12T16:22:39.390Z,неформальные нейтральные сообщения
4820,омагад поко; 2024-03-12T16:16:05.910Z,неформальные нейтральные сообщения
4821,меня не слышно?; 2024-03-19T15:03:49.265Z,безымянные сообщения
4822,белый,неформальные нейтральные соobщения
4823,эсмайлтк; 2024-03-19T15:09:10.517Z,неформальные нейтральные сообщения
4824,голубой,безымянная группа
4825,оранжевый; 2024-03-19T15:09:39.222Z,цвет
4826,драстеееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееееее,неформальные нейтральные сообщения
4827,я на 1,неформальные нейтральные сообщения
4828,и я доделяль; 2024-03-19T15:15:50.779Z,беспечные неформальные сообщения
4829,агась,неформальные нейтральные сообщения
4830,да; 2024-03-19T15:17:37.825Z,комментарии к уроку
4831,поооооооооооооооооооон; 2024-03-19T15:20:11.213Z,неформальные нейтральные сообщения
4832,не анимацию не смогу ну не могу но попробую; 2024-03-19T16:32:38.008Z,технические вобосных
4833,а як же огірок 10 годин,технические вопросы
4834,бзик,1
4835,ааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааа,глупости
4836,Артем,личное имя
4837,трдтьндтбнетбнзжрдюехрижеъжехриже,нет определенной семантики
4838,о холеро чито фреди фаз бер,неформальные нейтральные сообщения
4839,идиальноооооооооооооооооооооооооооооооооошсовгсвг,неформальные нейтральные сообщения
4840,вклучи микрофон,технические вопросы
4841,вероника включи микрофон,обсуждение кода
4842,01.май,даты и праздника
4843,01.сен,месяц
4844,02.сен,нет существующих групп соответствующих данному тексту
4845,14084588.jpg; 2024-03-19T15:51:19.187Z,обсуждение кода
4846,почти; 2024-03-19T16:05:39.360Z,неформальные нейтральные сообщения
4847,2; 2024-03-26T15:08:58.697Z,приветствия
4848,6; 2024-03-26T15:09:12.984Z,технические вопросы
4849,аааааааааааааааааааааааааааааааааааааааааааааааааааааааааабобус,неформальные нейтральные сообщения
4850,аыаыаыаыаыаыаыаыаыаыааыыаыаыаыыаыаыыааыаыа,флуд
4851,Введите сообщение; 2024-03-26T15:24:52.512Z,нейтральные неформальные сообщения
4852,я девочку дорисовала,художественное творчество
4853,я и так молчу,неформальные нейтральные сообщения
4854,так что хоть тут,неформальные нейтральные сообщения
4855,а можно где- то кроме вик эдитора анимации и не в крите,технические вопросы
4856,агаэ\,неформальные нейтральные сообщения
4857,помучаюсь,неформальные нейтральные сообщения
4858,сдлои кадры?,технические вопросы
4859,имббаа,неформальные нейтральные сообщения
4860,как в алайте,неформальные нейтральные сообщения
4861,сверху кружочки,эмоциональные реакции
4862,сверху кружочек нее оно?,неформальные нейтральные сообщения
4863,лево,неформальные нейтральные сообщения
4864,а еще в вике скорость движения мыши замедляно,технические вопросы
4865,да как в алайте только вниз,неформальные нейтральные сообщения
4866,это на телефоне,технические вопросы
4867,ааааааааааааааа страшно,неформальные нейтральные сообщения
4868,не помешало бы,неформальные нейтральные сообщения
4869,но хелп,запросы о группах и обучении
4870,я поняла по слоям,обсуждение тонкостей текста
4871,че я китаец,неформальные нейтральные сообщения
4872,как добавить новый слой,технический диалог
4873,кхм,неформальные нейтральные сообщения
4874,голоаоломно\,неформальные нейтральные сообщения
4875,хорошо спасибо,положительный неформальные сообщения
4876,досвилание; 2024-03-26T16:30:15.873Z,прощания
4877,ААААААААААААААААААААААААААААААААААААААААААААААААААААААААбообус,неформальные нейтральные сообщения
4878,аааааааааааааааааааааааааааааааааааааааааааааааааааааааааааа; 2024-03-26T15:36:50.782Z,1
4879,аааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааа; 2024-03-26T15:41:28.601Z,неформальные нейтральные сообщения
4880,всем пока ВХАХАВХАХВ,неформальные нейтральные сообщения
4881,хелп,запросы о группах и обучении
4882,КСЮША СКИНЬ СЫЛКУ НА ТО  де ты ресуешь перса; 2024-03-26T15:43:39.498Z,неформальные нейтральные сообщения
4883,у меня микро не работает просто,технические вопросы
4884,покажи; 2024-03-26T15:50:43.543Z,неформальные нейтральные сообщения
4885,Всем приветик,приветствия
4886,Я сегодня с микрофоном кстати,технические вопросы
4887,Скиньте мне уже хоть что нибудь,токсичные сообщения
4888,"Добрый день , Мария вчера мне писала хотела скинуть тераину , но не могла за архивировать её, я был не дома не мог ей помочь",приветствия и помощь
4889,Я могу тереину сделать,личное разговорное
4890,За один вечер,обсуждение магистратуры
4891,"Иван, я могу за 4 клика сделать ее; 2024-03-03T08:11:04.015Z",неформальные нейтральные сообщения
4892,только на первом уроке,начальный уровень
4893,Списка нет,личные заявки
4894,Вообщем,неформальные нейтральные сообщения
4895,Нам нужно,запросы и просьбы
4896,Стамину сделать,обсуждение кода
4897,Замерзание,зимние жаргоны
4898,Броня,технические вопросы
4899,Миксамо; 2024-03-03T08:28:27.430Z,фантермины
4900,случайно; 2024-03-03T08:34:14.513Z,неформальные нейтральные сообщения
4901,Ало карапузики,флуд
4902,Какое-то развитие событий будет?,обсуждение мероприятия
4903,Нее,нейтральные неформальные сообщения
4904,мне надо союзников сделать???,запросы об интерактивном контенте
4905,Даш мне задание сделаю,самостоятельная работа
4906,с союзникми прикольно кстати,неформальные нейтральные сообщения
4907,а ты знаешь как их сделать?; 2024-03-03T08:47:53.606Z,различные тематические вопросы
4908,Может все включим микрофоны,технические вопросы
4909,И уже вылезем из чата,прощания
4910,Досвидания; 2024-03-03T09:28:21.678Z,прощания
4911,Досвидания; 2024-03-03T09:28:36.459Z,прощания
4912,Слышно отлично,неформальные нейтральные сообщения
4913,У меня тут шум неимоверный я не думаю что в нем что то услышите от меня,неформальные нейтральные сообщения
4914,Ничего нету,neutral_formal
4915,Никто и ничего мне не скинул,неформальные нейтральные сообщения
4916,Я садился делать карту вчера,задачи и проекты
4917,Где у меня квесты были и я не сохранил,технические вопросы
4918,И не успел все сделать к сегодняшнему дню заново все сделать,задачи и вызовы
4919,Сегодня переделывать буду,изменяемые или доработки
4920,простите я позно зашёл,неформальные нейтральные сообщения
4921,инет плохой,токсичные сообщения
4922,где учитель; 2024-03-10T08:31:16.196Z,запросы о преподавателях
4923,"извиняюсь, микрофон не вырубил; 2024-03-10T08:37:29.133Z",технические вопросы
4924,"спасибо, всё понятненько; 2024-03-10T08:39:11.567Z",неформальные нейтральные сообщения
4925,так долго грузит из-за демки; 2024-03-10T08:41:37.819Z,технические проблемы
4926,а для чего Continue в главном меню?; 2024-03-10T08:43:51.160Z,вопросы о платформе
4927,Продвижение какое нибудь будет?,запросы о обучении
4928,лично я до скачиваю версию юнити,технические вопросы
4929,только винду переустанови,технические вопросы
4930,на 10тку,образование и образовательные затраты
4931,У меня 11,цифры и числа
